problem_id,F,J,M,Best,status
I_3_8_3_4,3,8,3,120,optimal
I_3_8_3_5,3,8,3,209,optimal
I_3_8_4_1,3,8,4,178,optimal
I_3_8_4_2,3,8,4,214,optimal
I_3_8_4_3,3,8,4,263,optimal
I_3_8_4_4,3,8,4,212,optimal
I_3_8_4_5,3,8,4,297,optimal
I_3_8_5_1,3,8,5,303,optimal
I_3_8_5_2,3,8,5,352,optimal
I_3_8_5_3,3,8,5,210,optimal
I_3_8_5_4,3,8,5,282,optimal
I_3_8_5_5,3,8,5,287,optimal
I_4_10_2_1,4,10,2,111,optimal
I_4_10_2_2,4,10,2,206,optimal
I_4_10_2_3,4,10,2,201,optimal
I_4_10_2_4,4,10,2,249,optimal
I_4_10_2_5,4,10,2,191,optimal
I_4_10_3_1,4,10,3,226,optimal
I_4_10_3_2,4,10,3,136,optimal
I_4_10_3_3,4,10,3,147,optimal
I_4_10_3_4,4,10,3,327,optimal
I_4_10_3_5,4,10,3,307,optimal
I_4_10_4_1,4,10,4,297,optimal
I_4_10_4_2,4,10,4,296,optimal
I_4_10_4_3,4,10,4,108,optimal
I_4_10_4_4,4,10,4,230,optimal
I_4_10_4_5,4,10,4,234,optimal
I_4_10_5_1,4,10,5,273,optimal
I_4_10_5_2,4,10,5,436,optimal
I_4_10_5_3,4,10,5,178,optimal
I_4_10_5_4,4,10,5,339,optimal
I_4_10_5_5,4,10,5,324,optimal
I_4_12_2_1,4,12,2,466,feasible
I_4_12_2_2,4,12,2,280,optimal
I_4_12_2_3,4,12,2,307,optimal
I_4_12_2_4,4,12,2,382,optimal
I_4_12_2_5,4,12,2,418,optimal
I_4_12_3_1,4,12,3,338,optimal
I_4_12_3_2,4,12,3,257,optimal
I_4_12_3_3,4,12,3,472,optimal
I_4_12_3_4,4,12,3,362,optimal
I_4_12_3_5,4,12,3,486,optimal
I_4_12_4_1,4,12,4,383,optimal
I_4_12_4_2,4,12,4,437,optimal
I_4_12_4_3,4,12,4,441,optimal
I_4_12_4_4,4,12,4,576,feasible
I_4_12_4_5,4,12,4,352,optimal
I_4_12_5_1,4,12,5,421,optimal
I_4_12_5_2,4,12,5,506,optimal
I_4_12_5_3,4,12,5,505,optimal
I_4_12_5_4,4,12,5,361,optimal
I_4_12_5_5,4,12,5,539,feasible
I_4_14_2_1,4,14,2,529,feasible
I_4_14_2_2,4,14,2,435,feasible
I_4_14_2_3,4,14,2,529,feasible
I_4_14_2_4,4,14,2,438,feasible
I_4_14_2_5,4,14,2,341,feasible
I_4_14_3_1,4,14,3,577,feasible
I_4_14_3_2,4,14,3,702,feasible
I_4_14_3_3,4,14,3,364,optimal
I_4_14_3_4,4,14,3,613,feasible
I_4_14_3_5,4,14,3,512,feasible
I_4_14_4_1,4,14,4,807,feasible
I_4_14_4_2,4,14,4,704,feasible
I_4_14_4_3,4,14,4,471,feasible
I_4_14_4_4,4,14,4,448,feasible
I_4_14_4_5,4,14,4,512,feasible
I_4_14_5_1,4,14,5,676,feasible
I_4_14_5_2,4,14,5,463,feasible
I_4_14_5_3,4,14,5,834,feasible
I_4_14_5_4,4,14,5,491,feasible
I_4_14_5_5,4,14,5,709,feasible
I_4_16_2_1,4,16,2,1368,feasible
I_4_16_2_2,4,16,2,600,feasible
I_4_16_2_3,4,16,2,1046,feasible
I_4_16_2_4,4,16,2,564,feasible
I_4_16_2_5,4,16,2,747,feasible
I_4_16_3_1,4,16,3,1018,feasible
I_4_16_3_2,4,16,3,717,feasible
I_4_16_3_3,4,16,3,915,feasible
I_4_16_3_4,4,16,3,693,feasible
I_4_16_3_5,4,16,3,705,feasible
I_4_16_4_1,4,16,4,786,feasible
I_4_16_4_2,4,16,4,967,feasible
I_4_16_4_3,4,16,4,986,feasible
I_4_16_4_4,4,16,4,831,feasible
I_4_16_4_5,4,16,4,883,feasible
I_4_16_5_1,4,16,5,899,feasible
I_4_16_5_2,4,16,5,699,feasible
I_4_16_5_3,4,16,5,698,feasible
I_4_16_5_4,4,16,5,1086,feasible
I_4_16_5_5,4,16,5,1081,feasible
I_4_4_2_1,4,4,2,0,optimal
I_4_4_2_2,4,4,2,0,optimal
I_4_4_2_3,4,4,2,0,optimal
I_4_4_2_4,4,4,2,0,optimal
I_4_4_2_5,4,4,2,0,optimal
I_4_4_3_1,4,4,3,0,optimal
I_4_4_3_2,4,4,3,0,optimal
I_4_4_3_3,4,4,3,0,optimal
I_4_4_3_4,4,4,3,0,optimal
I_4_4_3_5,4,4,3,0,optimal
I_4_4_4_1,4,4,4,0,optimal
I_4_4_4_2,4,4,4,0,optimal
I_4_4_4_3,4,4,4,0,optimal
I_4_4_4_4,4,4,4,0,optimal
I_4_4_4_5,4,4,4,0,optimal
I_4_4_5_1,4,4,5,0,optimal
I_4_4_5_2,4,4,5,0,optimal
I_4_4_5_3,4,4,5,0,optimal
I_4_4_5_4,4,4,5,0,optimal
I_4_4_5_5,4,4,5,0,optimal
I_4_6_2_1,4,6,2,73,optimal
I_4_6_2_2,4,6,2,9,optimal
I_4_6_2_3,4,6,2,67,optimal
I_4_6_2_4,4,6,2,17,optimal
I_4_6_2_5,4,6,2,20,optimal
I_4_6_3_1,4,6,3,66,optimal
I_4_6_3_2,4,6,3,21,optimal
I_4_6_3_3,4,6,3,83,optimal
I_4_6_3_4,4,6,3,15,optimal
I_4_6_3_5,4,6,3,17,optimal
I_4_6_4_1,4,6,4,29,optimal
I_4_6_4_2,4,6,4,54,optimal
I_4_6_4_3,4,6,4,90,optimal
I_4_6_4_4,4,6,4,24,optimal
I_4_6_4_5,4,6,4,72,optimal
I_4_6_5_1,4,6,5,60,optimal
I_4_6_5_2,4,6,5,53,optimal
I_4_6_5_3,4,6,5,30,optimal
I_4_6_5_4,4,6,5,35,optimal
I_4_6_5_5,4,6,5,48,optimal
I_4_8_2_1,4,8,2,82,optimal
I_4_8_2_2,4,8,2,74,optimal
I_4_8_2_3,4,8,2,160,optimal
I_4_8_2_4,4,8,2,111,optimal
I_4_8_2_5,4,8,2,191,optimal
I_4_8_3_1,4,8,3,131,optimal
I_4_8_3_2,4,8,3,178,optimal
I_4_8_3_3,4,8,3,72,optimal
I_4_8_3_4,4,8,3,117,optimal
I_4_8_3_5,4,8,3,25,optimal
I_4_8_4_1,4,8,4,60,optimal
I_4_8_4_2,4,8,4,147,optimal
I_4_8_4_3,4,8,4,60,optimal
I_4_8_4_4,4,8,4,200,optimal
I_4_8_4_5,4,8,4,149,optimal
I_4_8_5_1,4,8,5,224,optimal
I_4_8_5_2,4,8,5,154,optimal
I_4_8_5_3,4,8,5,122,optimal
I_4_8_5_4,4,8,5,61,optimal
I_4_8_5_5,4,8,5,173,optimal
